PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
7446,144207364,3226,C(C(OC(F)F)(F)F)(F)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7447,144207365,72,C1=CC(=C(C=C1C(=O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7448,144207366,5382,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7449,144207368,32346,C1=CC=C2C(=C1)NC(=N2)NC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7450,144207369,40301,C1=CC=C(C=C1)C2=CSC(=N2)N.O.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7451,144207372,13432,CC1=C(C2=CC=CC=C2C=C1)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7452,144207374,99953,CCCCCCCCCOCC1CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7453,144207375,8085,CC(C)CNCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7454,144207376,7829,COC(=O)CCCCCCCCC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7455,144207377,12989,CCOCCC(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7456,144207378,36081,CC(=O)OC1CCC(CC1)C(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7457,144207379,24287,Cl[Sn](Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7458,144207382,7819,CC(C)COC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7459,144207383,25833,CCC=CC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7460,144207385,10704,CC1=CC=CC=C1C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7461,144207388,6969,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)NC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7462,144207390,10486,CC(C)(C)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7463,144207391,23707968,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7464,144207392,6514,C(CS)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7465,144207393,13381,CCCCCCCCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7466,144207394,92321,CN1C(=O)C2=C(C1=O)C=C(C=C2)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7467,144207395,10329304,[Cl-].[Cl-].[Fe+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7468,144207398,7858,C=CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7469,144207400,9253,C1CCCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7470,144207401,10797,CC1=CC=CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7471,144207403,6365,CC(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7472,144207404,442495,C[C@@H]1CCC(=C(C)C)C(=O)C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,Interchem
7473,144207406,41022,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7474,144207407,8112,C(CNCCO)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7475,144207408,61032,COCCC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7476,144207409,2723942,C1=CC=C(C=C1)COC(=O)N[C@@H](CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7477,144207410,3035467,CCC(OCCCOC)OC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7478,144207411,1910825,CCCCN(CCCC)C1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7479,144207412,3727,C(C(=O)N)I,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7480,144207413,522105,CC1=CC(=CC=C1)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7481,144207414,7912,CC(C)NC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7482,144207418,11954,CNC(=O)C1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7483,144207419,6397,C[Si](C)(C)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7484,144207420,7044,C1CCC2CCCCC2C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7485,144207421,23160050,CC[N+]1=CC=CC=C1.F[P-](F)(F)(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,Io-li-tec
7486,144207422,5378708,CCCCCCCC/C=C\CCCCCCCC(=O)OCCOC(=O)CCCCCCC/C=C\CCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7487,144207423,5364509,CCCCCCCC/C=C\CCCCCCCC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7488,144207424,8151,C(CSCCC#N)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7489,144207425,517063,C(CS(=O)(=O)[O-])O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7490,144207426,7469,CC(=O)C1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7491,144207427,62477,CCOC(C=C)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7492,144207428,15074,C1=CN=CC=C1C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7493,144207429,5576,CC1(C(=O)N(C(=O)O1)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7494,144207430,7949,CC1=CC(=CC(=C1)N)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7495,144207431,15132,CC1=C2C(=CC=C1)SC(=N2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7496,144207435,2537,CC1(C2CCC1(C(=O)C2)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7497,144207437,24723,CCOP(=O)(OCC)SCCSCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,ChemService
7498,144207440,5281116,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7499,144207441,74348,CN(C)CCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7500,144207442,8452,C1CCC(=O)C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7501,144207443,50516,CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Wako
7502,144207444,24644,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7503,144207445,115089,C1=CC(=CC(=C1)O)C[C@@H](CO)[C@@H](CC2=CC(=CC=C2)O)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7504,144207446,8003,CCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7505,144207451,24314,CC(C)(C)OCC1CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7506,144207453,47491,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7507,144207455,6233,C1=CC(=CC=C1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Interchem
7508,144207458,11387,CC1=CC2=C(C=C1)C=C(C=C2)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7509,144207462,19463,CCN(CC)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7510,144207463,7487,CC(=O)C1=CC=C(C=C1)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7511,144207464,7503,C1=CC=C(C=C1)CCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7512,144207465,7526,C1CCN(CC1)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7513,144207466,7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7514,144207468,13931,C=CCN1C(=O)N(C(=O)N(C1=O)CC=C)CC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7515,144207469,7671,C1=CC=C(C=C1)NC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7516,144207472,7765,CCOC(C)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7517,144207473,61527,CC1=CC(=C(O1)C)C(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7518,144207474,7835,C1C(O1)CCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7519,144207476,7918,CC(=O)OC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7520,144207477,7950,C1=C(C=C(C=C1Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7521,144207478,8004,CCCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7522,144207479,8031,CC(C)(CCC(C)(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7523,144207480,8061,CCCCC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7524,144207481,14223,C(CO)N(CCO)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7525,144207482,8147,C(CCl)OCOCCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7526,144207483,7494,C1=CC(=CC=C1CCO)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7527,144207484,8374,C1=CC=C(C(=C1)C(=O)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7528,144207485,8394,C1=CC=C2C(=C1)C=NNC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7529,144207486,8443,CC1=CC=CC=C1NC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7530,144207487,31217,C1C(O1)COC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7531,144207490,7929,CC1=CC(=CC=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7532,144207492,8855,CCCC(=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7533,144207493,27054,C1=CC=C(C(=C1)CCO)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7534,144207496,7515,CNC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7535,144207497,2723754,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7536,144207499,62725,CC(C)CC1=NC=CS1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7537,144207500,16180,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,ChemService
7538,144207501,30231,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7539,144207504,16993,CCCCCCCCC1CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7540,144207505,17111,CN(C)CCOC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7541,144207507,9280,COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7542,144207508,18360,CC(C)(C)C1=CC=C(C=C1)OCC2CO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7543,144207509,18510,CCCCCCCCCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7544,144207514,447466,C/C=C/C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7545,144207515,5355732,C/C=C(\C)/C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7546,144207516,78392,C1=CC(=C(C(=C1)Cl)C(=O)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7547,144207517,21058,CC(C)COC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7548,144207518,5758,C1=CC(=C(C(=C1)Cl)C(=O)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7549,144207519,5784,C1=CC(=C(C=C1Cl)C(=O)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7550,144207520,5817,C1=CC(=C(C=C1C(=O)O)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7551,144207521,10660,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7552,144207522,10721,CC1=CC=CC=C1C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7553,144207523,447,C1=CC(=CC(=C1)Cl)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7554,144207526,230976,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)OC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7555,144207528,19266,CC(=O)NC1=CC=C(C=C1)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7556,144207529,11245,CC=C(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Cerilliant
7557,144207530,4064,CCCC(C)(COC(=O)N)COC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7558,144207535,11750,CCC([N+](=O)[O-])Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Radian International
7559,144207538,11875,C1=CC=C(C(=C1)C(=O)Cl)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7560,144207539,11910,CC1=C2C(=CC=C1)C=CC=N2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7561,144207540,12018,C(C(CCl)Cl)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7562,144207541,12091,C1=CC(=CC=C1C(=O)N)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7563,144207543,6115,C1=CC=C(C=C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7564,144207544,12302,CCCC[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7565,144207545,12364,C(CCC(=O)N)CC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7566,144207547,12512,CCOC(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7567,144207548,5356785,C1=CC=C(C=C1)/C=C\C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7568,144207549,106729,CC(C)CCOCC(=O)OCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7569,144207551,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7570,144207553,6332,CCBr,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7571,144207555,6366,C=C(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7572,144207556,6403,CCC(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7573,144207557,61207,CC(C)(C)OC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7574,144207558,13032,CC(C)NC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7575,144207559,6534,CCOP(=O)(CC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7576,144207560,6564,CC(CCl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7577,144207561,6570,CC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7578,144207562,6588,C(C(Br)Br)(Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7579,144207563,398,CC(C)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7580,144207564,6637,CCNS(=O)(=O)C1=CC=C(C=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7581,144207565,6658,CC(=C)C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7582,144207566,157882,CO[Si](CCCNCCC[Si](OC)(OC)OC)(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7583,144207568,6894,CC1=C(C=CC=C1Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7584,144207570,6974,CC1=CC(=C(C=C1)C)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7585,144207571,6996,C1=CC=C(C(=C1)C=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7586,144207575,13610,C1CCC(CC1)(C#N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7587,144207577,7236,CC1=CC=CC=C1Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7588,144207578,7250,CC1=CC(=C(C=C1)N)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7589,144207579,7262,C1=CC(=C(C=C1Cl)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7590,144207580,7280,C(C(CBr)Br)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7591,144207581,7301,CC1CCCO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7592,144207583,7374,C1=CC(=CC(=C1)Cl)C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7593,144207584,7423,C1=CC(=CC(=C1)[N+](=O)[O-])N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7594,144207586,7499,C=CC1CCC=CC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7595,144207587,7838,C=CCOCC1CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7596,144207588,54891,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7597,144207589,44072,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Crescent
7598,144207590,11659,C(Cl)(Cl)(Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,Crescent
7599,144207591,54960,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Crescent
7600,144207592,91604,CC(C)(CCCC1=CCC(CC1)C=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7601,144207594,71833,CN1CCC2=CC3=C(C=C2C1O)OCO3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7602,144207597,4685,C1=CC(=CC=C1Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Acros
7603,144207598,440917,CC1=CC[C@@H](CC1)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7604,144207599,6428,C(C(F)(Cl)Cl)(F)(F)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7605,144207600,2879,CC1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7606,144207602,6563,CCC(C)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7607,144207603,10452,C1CSCCS1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7608,144207604,7923,C1=CC(=O)OC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7609,144207606,11733,CC(C(Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7610,144207607,8496,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7611,144207608,3024,C(Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,Acros
7612,144207609,16760658,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7613,144207610,6942,C1=CC=C(C(=C1)C(=O)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7614,144207611,8146,CCOCCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7615,144207612,31261,CC(=O)CC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7616,144207613,13360,CC(=C)C(=O)OCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7617,144207615,3305,CC(O)(P(=O)(O)O)P(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7618,144207616,8148,CCCCNCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7619,144207619,34763,CC(C)CCCCCCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7620,144207620,11666,C(SCl)(Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7621,144207621,7622,CCCCN(CCCC)CCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7622,144207622,6277,CC(=O)[O-].CC(=O)[O-].[Co+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7623,144207623,6417,CC(C)(C)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7624,144207624,6517,CCO[Si](OCC)(OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7625,144207626,6935,CC1=CC(=C(C=C1Cl)N)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7626,144207627,7027,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7627,144207628,64947,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7628,144207629,7412,C1=CC=C(C=C1)C(=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7629,144207631,7735,C1CC(CCC1CO)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7630,144207632,7764,CCOC(=O)CC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7631,144207633,7868,CC(=C)CC(C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7632,144207634,7910,CC(C)CC(C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7633,144207635,8110,CCCCN=C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7634,144207637,8265,C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7635,144207638,8472,COP(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7636,144207639,31337,C(C(CO)(CO)[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7637,144207642,5283387,CCCCCCCC/C=C\CCCCCCCC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7638,144207643,10401,C1CCC(=O)OCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7639,144207644,10724,C1CC2=CC=CC=C2C(=O)C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7640,144207645,11040,CC(C(=O)OC)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7641,144207646,69027,CC(C)(C)C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7642,144207647,12053,CC(C)(C1=CC=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7643,144207648,12374,C(CCCO)CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7644,144207649,642197,C(/C=C/CCl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Sensient
7645,144207650,70324,CC(C)(C)C1=CC=C(C=C1)C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
7646,144207651,14456,CO[Si](C)(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7647,144207652,15290,C1CCC(CC1)S,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7648,144207653,72903,C1=CC=C(C=C1)P(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7649,144207654,17043,CCCCCCCCCCCCCCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7650,144207655,17593,CC1=C(C(=CC=C1)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
7651,144207656,62475,C1C=CCC2C1CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
